tract,design,n_lightfoot_l_2019r,n_preckwinkle_t_2019r,Y
17031010100,0.75,625.7623641900718,275.01694292761385,0.5605089748668889
17031010201,0.5,619.507468521595,316.140071362257,0.4896912669726161
17031010202,0.75,364.3695212304592,214.9518859833479,0.4100717171472927
17031010300,0.75,830.7477536201477,514.1516064405441,0.3810978071261381
17031010400,0.5,507.333085089922,319.18159598112106,0.3708638262285852
17031010501,0.5,531.0295133590698,311.6584939956665,0.4131051360512042
17031010502,0.5,444.4708595275879,253.10176277160645,0.4305548781294251
17031010600,0.5,799.5255278944969,531.7001454532146,0.3349804016221778
17031010701,0.25,473.62232971191406,229.07846176624295,0.5163267282909096
17031010702,0.25,551.142654210329,336.98102383315563,0.3885774921268283
17031020100,0.5,405.0096461772919,190.0380257368088,0.5307814825387637
17031020200,0.5,900.8278817534448,330.68186216056347,0.6329133801710296
17031020301,0.5,726.878180027008,221.88806116580963,0.6947383106787369
17031020302,0.25,726.1563422679901,284.1706934571266,0.6086645851366088
17031020400,0.5,699.0000026226044,215.9999989271164,0.6909871271577999
17031020500,0.0,406.88827633857727,197.77145093679428,0.5139416335204852
17031020601,0.5,444.5724143087864,198.4441368877888,0.553629216521843
17031020602,0.25,344.60495445132256,186.5235124528408,0.4587323541246754
17031020701,0.5,430.5437116920948,153.2281343564391,0.6441055107872047
17031020702,0.5,436.9505735635757,179.25370563566685,0.5897620543812248
17031020801,0.5,712.942387342453,279.32185927033424,0.6082125789833766
17031020802,0.5,515.4496598243713,200.9380340576172,0.6101694312378
17031020901,0.5,319.4835670441389,153.63945066928864,0.5191006157507242
17031020902,0.5,388.6281518936157,182.589097738266,0.5301701720562733
17031030101,0.5,691.5045484304428,272.1920457482338,0.6063770710314957
17031030102,0.75,492.0565528869629,199.1937279701233,0.5951812310974693
17031030104,0.5,331.2644758224488,148.33845555782318,0.5522053634349562
17031030200,0.5,1421.644357085228,593.0324267745018,0.5828545839759913
17031030300,0.25,456.590029835701,214.1605861186981,0.530956498993722
17031030400,0.5,658.6505444049835,191.32971197366717,0.7095125577607896
17031030500,0.5,1399.3556690216064,605.9675788879395,0.5669667173952878
17031030601,0.25,496.2444181442261,223.8153715133667,0.5489815838123582
17031030603,0.5,232.58147060871124,137.16457676887512,0.4102514855981924
17031030604,0.5,602.5527629852295,262.17843705415726,0.5648871714482802
17031030701,0.75,228.40125274658203,97.49016046524048,0.5731627594293071
17031030703,0.5,556.7197933197021,227.654851436615,0.591078215345791
17031030800,0.25,1230.0000116825104,468.99999874830246,0.6186991916310961
17031030900,0.5,789.3494572639465,309.6702865958214,0.6076892385924929
17031031000,0.5,1008.9999904632568,402.9999955892563,0.6005946487628518
17031031100,0.75,918.8717873096466,522.8229477405548,0.4310164323672166
17031031200,0.25,724.1740183830261,345.0422064065933,0.5235368880300045
17031031300,0.25,1356.3568983078003,561.8292503356934,0.5857806665512335
17031031400,0.5,1111.6478221542202,318.1644951819908,0.7137902050980212
17031031501,0.5,671.7042293548584,370.0023933649063,0.4491587559002317
17031031502,0.5,536.2166467905045,284.8689932823181,0.4687427274267109
17031031700,0.75,1327.0329585075378,547.3756983280182,0.5875191382257526
17031031800,0.75,406.9865493774414,159.1440815925598,0.608969677656426
17031031900,0.25,582.5642819404602,219.9437177181244,0.6224558824898858
17031032100,0.75,1207.6413509845734,491.7723853588104,0.5927827537887178
17031040100,0.25,1006.0000022649764,354.99999925494194,0.6471172977577824
17031040201,0.5,1321.3100250959396,532.169212281704,0.5972412210805231
17031040202,0.5,761.8265690505505,316.82130033522844,0.5841293632879244
17031040300,0.75,574.0664845705032,229.56772363185885,0.6001025494396987
17031040401,0.5,836.0492589473724,268.47503340244293,0.6788765368436946
17031040402,0.25,1134.849308013916,494.67874574661255,0.564101821930576
17031040600,0.5,639.9465532302856,242.69095885753632,0.6207637065431562
17031040700,0.5,784.9723896086216,367.1486088037491,0.5322783149267132
17031040800,0.25,390.4909107685089,181.3516538143158,0.5355803456285189
17031040900,0.25,538.6902649402618,203.5117569565773,0.6222100709780864
17031050100,0.5,692.7106790542603,227.33475363254547,0.6718186098373427
17031050200,0.5,1535.3018493652344,358.18018412590027,0.7667037369400755
17031050300,0.0,647.2889761924744,238.43999528884888,0.6316328501507684
17031050500,0.5,1287.1906868815422,328.77532771229744,0.7445791590453342
17031050600,0.25,568.0173811614513,167.33147931657732,0.7054113397473385
17031050700,0.75,329.5376763343811,78.04157465696335,0.7631785975884143
17031050800,0.75,324.77292823791504,74.5885523557663,0.7703363000098153
17031050900,0.5,267.1302766799927,62.970188438892365,0.7642716160013296
17031051000,0.5,254.14334732294083,54.284221202135086,0.7864031391183498
17031051100,0.5,263.26009368896484,57.74878162145615,0.7806398196846163
