latitude,longitude,line_number,WARD,PRECINCT
41.9835748,-87.8246135,743,41.0,13.0
41.9275008,-87.7580753,746,31.0,32.0
41.948946,-87.7136577,747,35.0,26.0
41.9038038,-87.6814296,761,2.0,16.0
41.8906638,-87.6735482,762,27.0,27.0
41.7414385,-87.7292935,764,18.0,44.0
41.7838888,-87.7210941,772,23.0,5.0
41.9421729,-87.8120216,775,38.0,6.0
41.9719672,-87.6903076,782,40.0,12.0
41.7937358,-87.6245497,783,20.0,31.0
41.8398612,-87.7138022,784,22.0,11.0
41.8372843,-87.6344372,787,11.0,32.0
42.005497,-87.8115017,793,41.0,10.0
41.792564,-87.6320971,795,3.0,36.0
41.782036,-87.7823028,803,13.0,18.0
41.8403475,-87.7326138,809,22.0,20.0
41.7399577,-87.5825791,817,8.0,51.0
41.9477959,-87.7826618,821,36.0,15.0
41.885714,-87.7132609,827,28.0,22.0
41.7589831,-87.5899505,840,8.0,2.0
41.6930132,-87.5261742,847,10.0,19.0
41.88648,-87.6320855,853,42.0,10.0
41.8651275,-87.6465504,858,11.0,7.0
41.7579148,-87.5691475,868,7.0,10.0
41.7942128,-87.7137699,877,23.0,9.0
41.8027698,-87.6639541,878,20.0,17.0
41.7415674,-87.5911277,882,8.0,37.0
41.698863,-87.6119713,884,9.0,9.0
41.7850441,-87.5974502,893,20.0,34.0
41.9945554,-87.7267717,901,39.0,32.0
41.7093839,-87.6493303,903,34.0,25.0
41.7664264,-87.5784051,906,5.0,28.0
41.9511281,-87.7900877,918,38.0,8.0
41.7331929,-87.6390297,925,21.0,11.0
41.6971277,-87.6192566,933,9.0,34.0
41.942859,-87.8084953,942,38.0,5.0
41.9720964,-87.7997546,946,41.0,24.0
41.8105028,-87.6419248,950,11.0,12.0
41.6829852,-87.653907,951,34.0,1.0
41.9901538,-87.7456212,954,39.0,15.0
42.0099335,-87.6708541,965,49.0,20.0
41.8092694,-87.6695079,968,15.0,13.0
41.9247288,-87.6755998,969,32.0,37.0
41.9644683,-87.7056781,970,33.0,8.0
41.8530137,-87.6939031,971,12.0,10.0
41.9970253,-87.6633357,974,48.0,34.0
41.7333269,-87.5439724,983,10.0,8.0
41.7741405,-87.6965807,994,17.0,16.0
41.661159,-87.5528554,1001,10.0,24.0
41.9341125,-87.6615518,1002,32.0,8.0
41.9224175,-87.6867116,1009,32.0,16.0
41.919067,-87.6736648,1010,32.0,31.0
41.940916,-87.792513,1012,36.0,7.0
41.7484891,-87.5902241,1019,8.0,29.0
41.760437,-87.6475883,1023,17.0,28.0
41.7967115,-87.6966817,1024,14.0,21.0
41.7531633,-87.6146285,1032,6.0,35.0
41.9197394,-87.6524666,1036,43.0,11.0
41.9721209,-87.7192326,1037,39.0,10.0
41.7656828,-87.564668,1038,7.0,5.0
41.768864,-87.6329522,1043,6.0,18.0
41.9693671,-87.7395706,1046,39.0,9.0
41.7757918,-87.7308818,1047,13.0,39.0
41.8685608,-87.6995001,1053,28.0,34.0
41.7540548,-87.7196022,1054,18.0,2.0
41.747186,-87.6540064,1057,21.0,54.0
41.706666,-87.6419783,1062,34.0,20.0
41.7904636,-87.626382,1064,20.0,37.0
41.8892924,-87.7739737,1067,29.0,26.0
41.6988466,-87.6553953,1071,34.0,19.0
41.9395635,-87.660254,1073,32.0,7.0
41.9351377,-87.7143896,1080,35.0,6.0
41.793833,-87.5977158,1081,5.0,27.0
41.9503366,-87.7622237,1086,38.0,35.0
41.9617118,-87.8449209,1094,38.0,2.0
41.7322736,-87.5625879,1096,7.0,33.0
41.6577959,-87.6362412,1097,34.0,6.0
41.879997,-87.7091434,1098,28.0,3.0
41.7762879,-87.6863615,1099,16.0,4.0
41.8310103,-87.6834197,1101,12.0,8.0
41.9430647,-87.8109068,1116,38.0,6.0
41.8593065,-87.7326662,1129,24.0,11.0
41.823469,-87.666422,1130,12.0,19.0
41.8292524,-87.6682811,1132,12.0,23.0
41.7531618,-87.7052932,1133,18.0,31.0
41.970969,-87.7533384,1135,45.0,31.0
41.780086,-87.7621653,1139,13.0,26.0
41.7690218,-87.7289636,1140,13.0,5.0
41.9373466,-87.6689691,1144,32.0,40.0
41.8177995,-87.6242134,1147,3.0,15.0
41.9710281,-87.7484068,1148,45.0,32.0
41.7888272,-87.705523,1152,23.0,13.0
41.8746509,-87.7505978,1153,29.0,2.0
41.9519264,-87.6868542,1159,47.0,46.0
41.8458205,-87.6960581,1165,12.0,18.0
41.8105942,-87.7012689,1169,15.0,10.0
41.9191169,-87.7722573,1171,36.0,5.0
41.8293166,-87.6513521,1174,11.0,25.0
41.7430655,-87.6022291,1181,8.0,41.0
41.6946673,-87.6882714,1184,19.0,17.0
41.7274531,-87.5721868,1193,7.0,36.0
41.7698787,-87.6526903,1196,16.0,30.0
41.9345112,-87.7696585,1198,30.0,12.0
41.7398399,-87.6482424,1203,21.0,17.0
41.6959581,-87.6244473,1209,34.0,39.0
41.6693227,-87.6177944,1216,9.0,45.0
41.9343623,-87.7022403,1218,33.0,14.0
41.8862415,-87.7325981,1226,28.0,23.0
42.0075503,-87.7635401,1239,41.0,9.0
41.9151113,-87.7941046,1244,29.0,43.0
41.741011,-87.6677154,1245,21.0,7.0
41.9571946,-87.6765983,1246,47.0,12.0
41.7594805,-87.6353745,1265,6.0,17.0
41.740103,-87.6640486,1267,21.0,13.0
41.6807625,-87.6594101,1268,34.0,7.0
41.9491641,-87.7185623,1270,45.0,1.0
41.846108,-87.713272,1273,22.0,18.0
41.7496614,-87.5561503,1276,7.0,20.0
41.7852748,-87.7012361,1295,16.0,35.0
41.7770113,-87.6455865,1296,20.0,13.0
41.9034349,-87.7745504,1301,29.0,40.0
41.9496031,-87.7384441,1302,45.0,6.0
41.7878787,-87.7710173,1304,23.0,38.0
41.8236935,-87.7095144,1309,12.0,11.0
41.8249542,-87.6891913,1314,12.0,6.0
42.0095063,-87.819656,1335,41.0,42.0
41.6975296,-87.5373644,1338,10.0,11.0
41.7630245,-87.7153705,1341,13.0,19.0
41.7428552,-87.5701014,1348,7.0,26.0
41.8536154,-87.7306071,1354,24.0,1.0
41.9118404,-87.6462221,1356,2.0,12.0
41.923316,-87.7955599,1360,36.0,3.0
41.8093553,-87.638528,1362,11.0,12.0
41.7699712,-87.6765512,1369,16.0,16.0
41.8496908,-87.7097188,1371,22.0,22.0
41.7742533,-87.6037135,1376,5.0,16.0
41.9255073,-87.7681324,1381,30.0,6.0
41.9391915,-87.7697184,1385,30.0,17.0
41.7153935,-87.6143523,1389,9.0,51.0
41.9518775,-87.7751944,1390,38.0,39.0
41.7940078,-87.7301881,1391,23.0,6.0
41.7693725,-87.6854753,1394,17.0,8.0
41.9312308,-87.6517336,1405,43.0,6.0
41.8782329,-87.6477393,1409,27.0,45.0
41.6786948,-87.6283472,1418,34.0,14.0
41.7040532,-87.6055797,1420,9.0,1.0
41.895433,-87.6908006,1424,26.0,46.0
41.8064974,-87.6117448,1426,4.0,8.0
41.7970274,-87.5922756,1439,5.0,19.0
41.9989426,-87.8090812,1444,41.0,15.0
41.8643936,-87.714559,1452,24.0,21.0
41.965208,-87.7755419,1468,45.0,18.0
41.8014477,-87.6651886,1471,20.0,20.0
41.9277899,-87.7945047,1474,36.0,1.0
41.9729117,-87.6629995,1479,47.0,15.0
41.7001441,-87.5429173,1487,10.0,33.0
41.6736575,-87.6186757,1499,9.0,45.0
41.6830701,-87.6244193,1501,34.0,9.0
41.7712251,-87.6515133,1505,16.0,30.0
41.72634,-87.6551617,1516,21.0,42.0
41.9532849,-87.6462465,1519,46.0,28.0
41.9535146,-87.6765865,1520,47.0,29.0
41.8038349,-87.6718029,1521,15.0,14.0
41.6638176,-87.6302505,1522,9.0,39.0
41.7609225,-87.570408,1526,7.0,4.0
41.779944,-87.6500471,1528,16.0,27.0
41.7057299,-87.7137556,1533,19.0,12.0
41.7246284,-87.6363766,1544,21.0,35.0
41.9368545,-87.7789396,1545,30.0,21.0
41.9218067,-87.7483487,1546,36.0,8.0
41.6938728,-87.5291177,1547,10.0,19.0
41.7965443,-87.7620616,1548,14.0,23.0
41.7959993,-87.6923008,1553,14.0,14.0
41.9768066,-87.6711938,1565,40.0,31.0
41.7193177,-87.5615179,1567,10.0,15.0
41.7468908,-87.6666489,1569,21.0,15.0
41.9304937,-87.7726524,1577,30.0,10.0
41.9193482,-87.6477006,1582,43.0,7.0
41.8739537,-87.7064195,1587,24.0,27.0
41.7420485,-87.5560152,1588,7.0,28.0
41.9813309,-87.6737501,1593,40.0,33.0
41.6936305,-87.6229382,1596,9.0,34.0
41.7595041,-87.6846905,1598,18.0,33.0
41.9191304,-87.6530522,1610,43.0,11.0
41.7648123,-87.5904217,1612,8.0,2.0
