WARD,PRECINCT,house,suburb,apartment,retail,garage,urban,office,building,roof,porch,church,n_lightfoot_l_2019r,n_preckwinkle_t_2019r,Y
1.0,40.0,0.375,0.0,0.75,0.625,0.25,0.125,0.0,0.0,0.0,0.0,0.25,222,58,0.7387387387387387
1.0,41.0,0.75,0.0,0.25,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126,58,0.5396825396825397
1.0,42.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,66,26,0.6060606060606061
1.0,43.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,147,35,0.7619047619047619
1.0,44.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,154,65,0.577922077922078
2.0,1.0,0.5,0.0,0.25,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,177,73,0.5875706214689266
2.0,3.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,220,65,0.7045454545454546
2.0,4.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,157,53,0.6624203821656051
2.0,5.0,0.0,0.0,0.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,218,73,0.6651376146788991
2.0,6.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,151,49,0.6754966887417219
2.0,7.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,200,45,0.775
2.0,8.0,0.6,0.4,0.6,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,197,64,0.6751269035532995
2.0,9.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,201,21,0.8955223880597015
2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,251,60,0.7609561752988048
